SHIP'S NAME,AKA,SHIP'S OWNER,VESSEL TYPE,YEAR BUILT,WHERE BUILT,DATE LOST,YEAR,MNTH,DAY,LOCATION LOST,CAUSE OF LOSS,CONSTRUCTION,FLAG,LENGTH,BEAM,DRAFT,GROSS TONNAGE,NET TONNAGE,HOME (HAILING) PORT,DEPARTURE PORT,ADDRESS,MASTER,# CREW,# PASS,LIVES LOST,SHIP VALUE,CARGO VALUE,NATURE OF CARGO,USLSS STATION NAME,LOST,PHOTO ON FILE,MISC INFORMATION,MUSEUM CROSS REFERENCE,MATCH_ADDR,MATCH_TYPE,LATITUDE,LONGITUDE
Hudson (1843),,,Schooner,,,9/24/1843,1843,9,24,Absecon bar,Grounded; Bilged,,,,,,,,,"Baltimore, MD","New York, NY",Cololey,,,,,,"Coffee, iron, biscuit, etc.",,Y,"N ",Probably total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Hughes 137,,,Barge,,,9/30/83,1983,9,30,Cape May E 300 mi,Adrift,,,,,,,,,"Philadelphia, PA","New York, NY",,,,,,,,,,N,"Cut loose from disabled ""Mars""",,"New York, NY",ROOFTOP,40.714269,-74.005973
Huron (1951),,Southern Transportation Co,Barge,1918,"Norfolk, VA",10/10/51,1951,10,10,NJ coast E 25 mi,Leaking in storm,Wood,US,214,32,14.3,914,888,"Philadelphia, PA","Baltimore, MD","New York, NY",,,,,,,Railroad ties,,Y,N,#167401; Sank,,"New York, NY",ROOFTOP,40.714269,-74.005973
Humboldt,Humbolt,,Brig,,,2/16/1855,1855,2,16,Squan Beach S 5 mi,Stranded,,,,,,,,"Boston, MA","Port-au-Prince, Haiti","New York, NY",,,,,,,Logwood,,,N,,,"New York, NY",ROOFTOP,40.714269,-74.005973
Huron (1866),,A Kaye,Brig,1863,"St John, NB",12/19/1866,1866,12,19,Great Egg Harbor S 2 mi,Grounded ashore,,England,116,28.6,12.8,370,,"St John, NB, Canada ","Cardenas, Mexico","New York, NY",Rayt,,,,,,Sugar,,,"N ",,,"New York, NY",ROOFTOP,40.714269,-74.005973
Isle of Pines,,,Schooner,1856,"Great Egg Harbor, NJ",8/3/1871,1871,8,3,Hereford Inlet,Collision; Damaged,,US,,,7.5,170,,"New Gretna, NJ",Virginia,"New York, NY",Lake,,,,,,,,,N,,,"New York, NY",ROOFTOP,40.714269,-74.005973
Isaac Enslow,,,Schooner,,,11/15/1841,1841,11,15,,,,,,,,,,,"Philadelphia, PA","New York, NY",Higbee,,,,,,,,Y,N,"Crew rescued by ""Ferax""",,"New York, NY",ROOFTOP,40.714269,-74.005973
J C Rahning,,,Bark,,,12/13/1864,1864,12,13,Allenhurst,Stranded,,,,,,,,"Halifax, NS","Havana, Cuba","New York, NY",Stevens,,,,,,Sugar,,,N,,,"New York, NY",ROOFTOP,40.714269,-74.005973
J M Williams,,,Schooner,,,11/1846,1846,11,,Barnegat,Grounded in gale,,,,,,,,,"Norfolk, VA","New York, NY",Eldridge,,,,,,,,Y,N,Total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
I Sargent,,,Bark,1875,"Machias, ME",8/17/1879,1879,8,17,Barnegat,Damaged in hurricane,,,,,,737.14,690.79,"Machias, ME",Cuba,"New York, NY",Leighton,,,,,,Sugar,,N,N,#100067; Partial loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
J Nickerson,,Robert Given,Schooner,1879,"Brunswick, ME",5/9/1883,1883,5,9,Five Fathom Bank SSE 40 mi,"Collision w/ ""S Conant""",,,98,26,9.5,180,,"Portland, ME","Baracoa, Cuba","New York, NY",Farr,,,,,,,,N,N,Made New York for repairs,,"New York, NY",ROOFTOP,40.714269,-74.005973
James C Fisher,,,Schooner,,,1/3/1852,1852,1,3,Seven Mile Beach,Stranded,,,,,,,,,,"New York, NY",,,,,,,,,Y,N,Crew saved; ship & cargo lost,,"New York, NY",ROOFTOP,40.714269,-74.005973
J W Webster,,John R Pruyn,Schooner,1855,"New York, NY",4/13/1864,1864,4,13,"Long Branch, NJ",Grounded,,,121.6,29.6,12.6,390,,"New York, NY","Port Royal, SC","New York, NY",Blake,,,,,,In ballast,,,N,,,"New York, NY",ROOFTOP,40.714269,-74.005973
James A Saunders,,,Schooner,,,4/1850,1850,4,,Absecon,Stranded; Bilged,,,,,,,,"Hampton, VA","Hampton, VA","New York, NY",Fennis,,,,,,Oysters,,,N,,,"New York, NY",ROOFTOP,40.714269,-74.005973
James Cook,,B Sherman & Co,Bark,1851,"Waldoboro, ME",6/6/1862,1862,6,6,Corsons Inlet bar,Stranded,,,111,24.4,12.6,299,,"Boston, MA",Cuba,"New York, NY",Blanchard,,,,,,Molasses,,,N,,,"New York, NY",ROOFTOP,40.714269,-74.005973
James Emott,,,Schooner,,,12/15/1840,1840,12,15,Seven Mile Beach,Grounded,,,,,,,,"Philadelphia, PA","Philadelphia, PA","New York, NY",,,,,,,,,,N,,,"New York, NY",ROOFTOP,40.714269,-74.005973
James M Williams,,,Schooner,,,9/19/1846,1846,9,19,Barnegat Light S 4 mi,Stranded in gale,,,,,,,,"Taunton, MA","Norfolk, VA","New York, NY",Eldridge,,,,,,9000 bushels corn,,N,N,Refloated,,"New York, NY",ROOFTOP,40.714269,-74.005973
James H Braine,,,Schooner,,,1853,1853,,,Absecon Beach,Stranded,,,,,,,,"Yarmouth, NS",West Indies,"New York, NY",,,,,,,,,Y,N,Near total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Jane Henderson,,,Schooner,,,3/14/1853,1853,3,14,Hereford Inlet,Abandoned,,,,,,,,"Port Elizabeth, NJ","Philadelphia, PA","New York, NY",,,,,,,,,Y,N,"Sank; Crew rescued by ""Northern Lights""",,"New York, NY",ROOFTOP,40.714269,-74.005973
Jennie A Shephard,,,Schooner,,,5/7/1870,1870,5,7,Sandy Hook,Stranded in fog,,,,,,,,,"Georgetown, DC","New York, NY",,,,,,,Coal,,N,N,Refloated; no damage,,"New York, NY",ROOFTOP,40.714269,-74.005973
Jane (1749),,,Scow,,,2/20/1749,1749,2,20,Sandy Hook,Stranded in ice,,,,,,,,,"Jamaica, WI","New York, NY",Abraham Keteltas,,,,,,,,N,N,Possibly Refloated,,"New York, NY",ROOFTOP,40.714269,-74.005973
John (1870),,,Schooner,,,2/11/1870,1870,2,11,Atlantic City,Stranded,,,,,,,,,"Wilmington, NC","New York, NY",,,,,,,"Naval stores, peanuts & coffee",,N,N,Refloated,,"New York, NY",ROOFTOP,40.714269,-74.005973
Jerome,,,Brig,,,11/29/1856,1856,11,29,Squan Inlet S 6.5 mi,Stranded,,,,,,,,"Port Medway, NS",Turks Island,"New York, NY",Cahoon,,,,,,,,N,N,Refloated 12/8/1856,See scrapbooks 38 - 43 - Purple Misc,"New York, NY",ROOFTOP,40.714269,-74.005973
John and Elizabeth,,Elliot,Brig,1862,"Sunderland, England",8/16/1862,1862,8,16,Long Beach Island,Grounded,,England,,,,500,,,"Trinity, NF","New York, NY",Main,,,,,,,,N,N,Refloated,,"New York, NY",ROOFTOP,40.714269,-74.005973
John and Richard (1768),,,Brig,,,2/1768,1768,2,,Cape May S 20 mi,Grounded,,,,,,,,,"Liverpool, England","New York, NY",Collins,,,,,,,,,N,,,"New York, NY",ROOFTOP,40.714269,-74.005973
John B Moreau,,,Schooner,,,3/21/1856,1856,3,21,Little Egg Harbor,Stranded,,,,,,,,,Virginia,"New York, NY",,,,,,,,,,N,,,"New York, NY",ROOFTOP,40.714269,-74.005973
John E Dailey,,James Bliss,Schooner,1860,"St George, ME",10/3/1880,1880,10,3,Sandy Hook East Beach,Sank,,,100,27,9.5,184,174,"St George, ME","Georgetown, DC","New York, NY",Miller,,,,,,279 ton Coal,,Y,N,#12056; Total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
John Gibson,,Smith & Brown,Steamer,1864,"Philadelphia, PA",11/5/1877,1877,11,5,Egg Harbor NW 6 mi,"Collision w/ ""L N Lovell""",,,147,26,17,445,,"New York, NY","Georgetown, DC","New York, NY",Masingo,,,,,,,,,N,#13177,,"New York, NY",ROOFTOP,40.714269,-74.005973
John and Richard (1844),,,Schooner,,,12/11/1844,1844,12,11,Cape May,Grounded,,,,,,,,"Great Egg Harbor, NJ","Philadelphia, PA","New York, NY",,,,,,,Coal,,Y,N,Cargo saved; Ship lost,,"New York, NY",ROOFTOP,40.714269,-74.005973
John Howard,,,Schooner,,,12/23/1872,1872,12,23,New Jersey coast,Stranded,,,,,,,,,"Norfolk, VA","New York, NY",,,,,,,In ballast,,,N,,,"New York, NY",ROOFTOP,40.714269,-74.005973
John W Hall Jr,,,Schooner,1874,"Frederence, DE",12/3/1885,1885,12,3,Highlands of Navesink,Lost spars in squall,Wood,,115.34,28.6,9,193,183.35,"Wilmington, DE","St Augustine, FL","New York, NY",,,,,,,,,N,N,#75679,,"New York, NY",ROOFTOP,40.714269,-74.005973
John N Colby,,,Schooner,,,3/22/1877,1877,3,22,Barnegat,Damaged in gale,,,,,,227.98,,"Noank, CT","Key West, FL","New York, NY",Wilcox,,,,,,,,N,N,#75566,,"New York, NY",ROOFTOP,40.714269,-74.005973
John W Hunt,,Cann et al,Brig,1860,"Milford, DE",4/16/1873,1873,4,16,Barnegat,Lost main boom in gale,,,,,10,218,,"Philadelphia, PA","Matanzas, Cuba","New York, NY",Cann,,,,,,,,N,N,,,"New York, NY",ROOFTOP,40.714269,-74.005973
Joseph Weir,,F M Pearson,Bark,1865,"Londonderry, NS",4/20/1871,1871,4,20,Long Beach Island,Leaking; Abandoned,,England,,,15,542,,"Londonderry, NS","Matanzas, Cuba","New York, NY",Pearson,,,,,,"777 hogsheads, 200 boxes sugar",,,N,,,"New York, NY",ROOFTOP,40.714269,-74.005973
Jose E More,,Waydell & Co,Bark,1875,"Damariscotta, ME",12/6/1885,1885,12,6,Barnegat SE 8 mi,"Collision w/ ""Pomona""",,,134,30.7,15.7,421,,"New York, NY","Matanzas, Cuba","New York, NY",Carlisle,,,,,,,,N,N,#75803; Heavily damaged,,"New York, NY",ROOFTOP,40.714269,-74.005973
Julia (1841),,,Bark,,,3/16/1841,1841,3,16,"Point Pleasant, NJ",Grounded,,,,,,,,"Providence, RI","Mobile, AL","New York, NY",Rhea,,,,,,Cotton,,,N,,,"New York, NY",ROOFTOP,40.714269,-74.005973
Kate Dyer,,J W Dyer,Ship,1855,"Cape Elizabeth, ME",12/1/1866,1866,12,1,Fire Island S 10 mi,"Collision w/ ""Scotland""",,,190,38.6,24,1278,,"Portland, ME","Liverpool, England","New York, NY",,,,,,,Cotton,,Y,N,Both ships sank,,"New York, NY",ROOFTOP,40.714269,-74.005973
Kate Brigham,,Thomas Dunham & Co,Schooner,1853,"Greenpoint, NY",12/20/1864,1864,12,20,"Highlands, Wardells Beach S 1 mi",Grounded,Oak,,131,30.3,12.1,546,,"New York, NY","New Orleans, LA","New York, NY",,,,,,,Flour,,,N,#2844,,"New York, NY",ROOFTOP,40.714269,-74.005973
Kaiser Wilhem Der Grosse,,North German Lloyd,Passenger,1897,"Stetin, Germany",6/30/00,1900,6,30,"Hoboken, NJ",Burned,Steel,Germany,649,66,39,14349,,"Breman, Germany",,"New York, NY",,,,,,,,,N,N,Only slight damage,,"New York, NY",ROOFTOP,40.714269,-74.005973
Kong Carl,,A & F Smith & Co,Bark,1871,"Tud Strand, Norway",3/30/1877,1877,3,30,Sandy Hook SE 20 mi,"Collision w/ ""Gazelle""",,Norway,125.6,30.9,16.4,513," ","Tud Strand, Norway","Liverpool, England","New York, NY",D H Hendrickson,,,,,,,,N,N,Damaged; Made way to NY,,"New York, NY",ROOFTOP,40.714269,-74.005973
Knickerbocker (1887),,Samuel H Seaman,Steamer,1873,"Wilmington, DE",2/8/1887,1887,2,8,Scotland Lightship S 7 mi,"Collision w/ ""Leocadia""",,,256,33.6,22.6,1140,,"New York, NY","New Orleans, LA","New York, NY",Kemble,,,,,,,,N,N,#14289; Made NY w/o assistance,,"New York, NY",ROOFTOP,40.714269,-74.005973
Kate Lawson,,,Schooner,,,5/12/1874,1874,5,12,Sandy Hook,"Collision w/ ""Wyoming""",,,,,,,,,Virginia,"New York, NY",,,,,,,,,,N,,,"New York, NY",ROOFTOP,40.714269,-74.005973
Lancet,,,Brig,,,5/4/1843,1843,5,4,Absecon Inlet South bar,Grounded,,,,,,,,"Charleston, SC","Charleston, SC","New York, NY",J Kruse,,,,,,Cotton,,Y,N,Vessel lost,,"New York, NY",ROOFTOP,40.714269,-74.005973
La Fauvette,,,Bark,,,4/27/1849,1849,4,27,Squan Beach,Stranded,,France,,,,,,,"Port-Vendres, France","New York, NY",,,,,,,,,Y,N,Total loss,Scrapbook #15,"New York, NY",ROOFTOP,40.714269,-74.005973
Lawrence (1863),,Ryder & Hardy,Bark,1860,"East Boston, MA",3/20/1863,1863,3,20,Pecks Beach,Wrecked,Wood,,,,14,479,,"Boston, MA","Messina, Sicily","New York, NY",,,,,,,Oranges & lemons,,Y,N,Total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Leocadia,,Meyer & Sheer,Bark,1862,"Motzen, Germany",2/8/1887,1887,2,8,Scotland Lightship S 7 mi,"Collision w/ ""Knickerbocker""",,Germany,150.9,32.1,20.7,799,,"Bremen, Germany","Hamburg, Germany","New York, NY",Jno Stohff,,,,,,,,N,N,Partial damage,,"New York, NY",ROOFTOP,40.714269,-74.005973
Louise Poll,,,Bark,,,2/5/1870,1870,2,5,Barnegat,Lost sails in gale,,,,,,,,"New York, NY","Tagauro, Spain","New York, NY",,,,,,,,,Y,N,,,"New York, NY",ROOFTOP,40.714269,-74.005973
Magellan (1870),,E Z Birdsall,Schooner,1849,"Waretown, NJ",5/7/1870,1870,5,7,Sandy Hook,Grounded in fog,Wood,,88.4,25.5,8,133,126.05,"Waretown, NJ",Virginia,"New York, NY",,,,,,,Pinewood,,N,N,#17038; Refloated undamaged,,"New York, NY",ROOFTOP,40.714269,-74.005973
L'Orient,,,Brig,,,10/7/1847,1847,10,7,Absecon Beach,Stranded,,Wales,,,,,,"Newburyport, MA",Trinidad de Cuba,"New York, NY",,,,,,,,,Y,N,Bilged,,"New York, NY",ROOFTOP,40.714269,-74.005973
Magellan (1877),,E Z Birdsall,Schooner,1849,"Waretown, NJ",7/2/1877,1877,7,2,Barnegat,Damaged in gale,Wood,,88.4,25.5,8,133,126.05,"Waretown, NJ",Virginia,"New York, NY",,,,,,,Railroad ties,,N,N,#17038; Lost deck load,,"New York, NY",ROOFTOP,40.714269,-74.005973
Lizzie Major,,Tabbot,Schooner,1867,"East Boston, MA",2/2/1875,1875,2,2,Sandy Hook,Collision w/ unknown steamer,,,108.1,28.2,8,171,,"Boston, MA","Savannah, GA","New York, NY",Tabbot,,,,,,,,N,N,Partial loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Magellan (1885A),,E Z Birdsall,Schooner,1849,"Waretown, NJ",8/7/1885,1885,8,7,Little Egg Harbor Middle Ground,Stranded,Wood,,88.4,25.5,8,133,126.05,"Tuckerton, NJ",Virginia,"New York, NY",Conklin,,,,,,Pinewood,,N,N,#17038 Refloated,,"New York, NY",ROOFTOP,40.714269,-74.005973
Magellan (1885B),,E Z Birdsall,Schooner,1849,"Waretown, NJ",11/3/1885,1885,11,3,Absecon Beach,Abandoned,Wood,,88.4,25.5,8,133,126.05,"Tuckerton, NJ","Smithtown, VA","New York, NY",Conklin,,,,,,Pinewood,,N,N,#17038; Picked up at Barnegat; Towed in,,"New York, NY",ROOFTOP,40.714269,-74.005973
Maid of the Mist,,,,,,,,,,"Point Pleasant, NJ",Grounded,,,,,,,,,"Mayaguez, PR","New York, NY",,,,,,,Oranges,,,N,No details,,"New York, NY",ROOFTOP,40.714269,-74.005973
Maggie Browne,,George Browne & Co,Bark,1871,"Maitland, NS",4/26/1885,1885,4,26,Absecon Light SE 14 mi,Damaged in gale,,England,151.5,30.2,17.7,564,,"Glasgow, Scotland","Port of Spain, Trinidad","New York, NY",Davies,,,,,,,,N,N,#61998,,"New York, NY",ROOFTOP,40.714269,-74.005973
Maggie,,,Brig,,,12/1/1872,1872,12,1,Sandy Hook,Stranded,,England,,,,,,,Port-au-Plata,"New York, NY",,,,,,,,,N,N,Refloated; Towed to New York,,"New York, NY",ROOFTOP,40.714269,-74.005973
Marjory Brown,,M A Osborn,Schooner,1889,"Wilmington, DE",10/20/13,1913,10,20,Perth Amboy,Foundered in gale,,,198,40.7,17.8,,,"Perth Amboy, NJ","Newport News, VA","New York, NY",M S Osborn,,,,,,Coal,,Y,N,Total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Martha,,,Brig,,,1/1816,1816,1,,Sandy Hook,Grounded,,,,,,,,,British Guiana,"New York, NY",,,,,,,Horses and lumber,,,N,,,"New York, NY",ROOFTOP,40.714269,-74.005973
Marietta Ryan,,,Schooner,,,1/14/1846,1846,1,14,"Ludlams Beach, NJ",,,,,,,,,,"New Bern, NC","New York, NY",Wheldon,,,,,,Naval stores,,Y,N,Total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Manchester (1855),,,Schooner,,,5/8/1855,1855,5,8,"Hereford Inlet, NJ",Stranded,,,,,,,240,,"Richmond, VA","New York, NY",,,,,,,,,,N,,,"New York, NY",ROOFTOP,40.714269,-74.005973
Mary (1779),,,Merchantman,,,1779,1779,,,Sandy Hook,Damaged in gale,,US,,,,,,,"St Kitts, WI","New York, NY",Peppard,,,,,,,,N,N,,,"New York, NY",ROOFTOP,40.714269,-74.005973
Mary A Hall,,"Sloat, Bussell & Co",Schooner,1882,"Belfast, ME",10/28/1889,1889,10,28,Point Pleasant E 5 mi,"Collision w/ ""Isaac H Tillyer""",Wood,US,142,32.8,11.9,362,,"New York, NY","Fernandina, FL","New York, NY",Parker,,,,,,Lumber,,N,N,"#91446; Abandoned; Towed to NY by ""Riela""",,"New York, NY",ROOFTOP,40.714269,-74.005973
Mary Jane (1838),,,Schooner,,,9/12/1838,1838,9,12,Little Egg Harbor,Stranded in gale,,,,,,,,"Great Egg Harbor, NJ","Schuylkill, NJ","New York, NY",,,,,,,Coal,,Y,N,One of 5 ships lost in that storm,,"New York, NY",ROOFTOP,40.714269,-74.005973
Matagorda,,,Bark,1847,"Piermont, NY",11/1852,1852,11,,Egg Harbor Beach,Grounded,,,,,,177,,"New Bedford, MA","Mobile, AL","New York, NY",,,,,,,,,,N,,,"New York, NY",ROOFTOP,40.714269,-74.005973
Mary Queen of the Seas,,A Langellier,Schooner,1872,"Murray Bay, Canada",1/5/1883,1883,1,5,"Long Branch, NJ","Collision w/ ""Sara E Kennedy""",,Canada,78.8,22.3,10.2,109,,"Quebec, Canada","Aspinwall, PA via Key West","New York, NY",A Langellier,,,,,,,,,N,,,"New York, NY",ROOFTOP,40.714269,-74.005973
Matilda (1841),,,Schooner,,,12/22/1841,1841,12,22,Squan Beach,Wrecked,,,,,,,,"New York, NY",,"New York, NY",Robinson,,,,,,Logwood,,,N,,,"New York, NY",ROOFTOP,40.714269,-74.005973
Melissa Ann,,,Brig,,,10/17/1853,1853,10,17,,Capsized in gale,,,,,,,,,"Jacksonville, FL","New York, NY",,,,,,,,,Y,N,,,"New York, NY",ROOFTOP,40.714269,-74.005973
Merak,,,Schooner,,,5/1855,1855,5,,Delaware Capes,Stranded,,,,,,,,,"Savannah, GA","New York, NY",,,,,,,,,Y,N,Total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Memento (1853),,,Schooner,,,12/4/1853,1853,12,4,"Cape Island, NJ",Grounded,,,,,,,,,"Baltimore, MD","New York, NY",Hammond,,,,,,,,,N,,,"New York, NY",ROOFTOP,40.714269,-74.005973
Melissa,,,Schooner,,,12/21/1841,1841,12,21,Squan Beach,Stranded,,,,,,,,,"Washington, NC","New York, NY",Nadol,,,,,,Naval stores & cotton,,Y,N,Total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Montross,,Wagdell & Co,Brig,1855,"Baltimore, MD",3/9/1871,1871,3,9,Long Branch NE 3 mi,"Collision w/ ""Albemarle""",,,,,10.5,188,,"New York, NY",Puerto Rico,"New York, NY",Peterson,,,,,,350 hogsheds of sugar,,Y,N,Broke up,,"New York, NY",ROOFTOP,40.714269,-74.005973
Morgiana,,,Brig,,,1/27/1837,1837,1,27,Barnegat Shoal,Stranded,,,,,,,,"Portland, ME","Matanzas, Cuba","New York, NY",Libby,,,,,,,,Y,N,Total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Morning Star (1867),,,Schooner,,,6/5/1867,1867,6,5,Deal Beach,Stranded,,,,,,,,,"Nassau, Bahamas","New York, NY",,,,,,,Fruit,,,N,,,"New York, NY",ROOFTOP,40.714269,-74.005973
Morning Star (1863),,,Steamer,,,8/1/1863,1863,8,1,Asbury Park 3rd Ave,Stranded,,,,,,,,,"New Orleans, LA","New York, NY",Perkins,,,,,,General,,,N,,,"New York, NY",ROOFTOP,40.714269,-74.005973
Morosco,,,Brig,,,1/15/1842,1842,1,15,Townsends Inlet,Grounded,,,,,,,,"Waldoboro, ME","St Marks, NY","New York, NY",,,,,,,,,Y,N,Bilged,,"New York, NY",ROOFTOP,40.714269,-74.005973
Napoleon,,,Schooner,,,3/6/1841,1841,3,6,Sandy Hook,Foundered in gale,,,,,,,,,Montege Bay,"New York, NY",Thompson,,,,,,,,N,N,Towed to New York,,"New York, NY",ROOFTOP,40.714269,-74.005973
Narragansett (1872),,J Atkins & Co,Bark,1849,"Warren, RI",4/9/1872,1872,4,9,Highlands SSE 16 mi,"Collision w/ ""Anna""",,,,,18.5,681,,"New York, NY","Savannah, GA","New York, NY",Thomas A Hamilton,,,,,,,,N,N,Damaged,,"New York, NY",ROOFTOP,40.714269,-74.005973
Nathaniel Lank,,John W Hall,Schooner,1883,"Frederica, DE",12/23/1885,1885,12,23,Barnegat SE 30 mi,Damaged in gale,,,,,,268,,,"Manzamillo, Cuba","New York, NY",Jonathan Sipple,,,,,,,,N,N,#130289; Lost fore gaff & sails,,"New York, NY",ROOFTOP,40.714269,-74.005973
Newport (1888),,Pacific Mail,Steamer,1880,"Chester, PA",5/12/1888,1888,5,12,New Jersey coast,"Collision w/ ""Carrie A Lane""",,,326,38.2,23,1806,,"New York, NY","Aspinwall, PA","New York, NY",,,,,,,,,N,N,#130179; Slight Damage,,"New York, NY",ROOFTOP,40.714269,-74.005973
New York Packet,,,Sloop,,,5/10/1773,1773,5,10,Sandy Hook S 20 mi,Stranded in fog,,,,,,,,,Georgia,"New York, NY",Palmer,,,,,,,,N,N,Believed refloated,,"New York, NY",ROOFTOP,40.714269,-74.005973
New Era (1873),,Rice & Niosen,Brig,1867,"Yarmouth, NS",7/3/1873,1873,7,3,Sandy Hook,Damaged in squall,,England,,,11,114,,"Yarmouth, NS","Glace Bay, Cape Breton","New York, NY",Morrill,,,,,,,,N,N,Partial Damage; lost sails,,"New York, NY",ROOFTOP,40.714269,-74.005973
Nightingale (1865),,,Steamer,1864,"Mystic, CT",9/26/1865,1865,9,26,Absecon,Stranded,,,,,,849,,"New York, NY","Savannah, GA","New York, NY",Breaker,,,,,,,,N,N,#18298; Refloated; lost again in 1868,,"New York, NY",ROOFTOP,40.714269,-74.005973
Nordvind,,H Kuhnles Reden,Freighter,1961,"Bergen, Norway",6/10/66,1966,6,10,Ambrose Lightship,"Collision w/ ""Kamikawa Maru""",,Norway,476.2,62.2,30.75,9556,,,,"New York, NY",,,,,,,,,N,N,Partial loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Norbury,,,Merchantman,,,~1777,1777,,,Sandy Hook,Wrecked,,Ireland,,,,,,,Cork,"New York, NY",Wood,,,,,,,,Y,N,Crew & cargo saved,,"New York, NY",ROOFTOP,40.714269,-74.005973
North America (1843),,,Packet,1831,"New York, NY",2/14/1843,1843,2,14,Shrewsbury Inlet,Grounded,,,184.5,31.5,15.8,610,,,"Liverpool, England","New York, NY",Lowber,,,,,,,,Y,N,Total Loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
O M Remington,,,Schooner,,,11/24/1877,1877,11,24,Barnegat,Damaged in gale,,,,,,,,,Porto Bello,"New York, NY",,,,,,,,,N,N,Lost sails & boom,,"New York, NY",ROOFTOP,40.714269,-74.005973
Nymph,,,Merchantman,,,11/1789,1789,11,,Barnegat,Wrecked,Wood,US,,,,,,,"Oporto, Portugal","New York, NY",Palmer,,,,,,,,Y,N,Total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
North America (1888),,Henry Hastings,Ship,1873,"East Boston, MA",3/29/1888,1888,3,29,Highlands S 25 mi,Collision w/ steamer,,,234,41,24,1584,,"Boston, MA","Calcutta, India","New York, NY",B C Creelman,,,,,,,,N,N,#18751; Partial loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Paragon,,,Sloop,,,6/1825,1825,6,,Cape May W,Stranded,,,,,,,,,,"New York, NY",,,,,,,,,,N,,,"New York, NY",ROOFTOP,40.714269,-74.005973
Ottawa,,,Bark,,,1/1856,1856,1,,Sandy Hook Romer Shoal,Grounded,,,,,,,,,"Havana, Cuba","New York, NY",,,,,,,,,,N,,,"New York, NY",ROOFTOP,40.714269,-74.005973
Perry (1843),,,Brig,,,1/7/1843,1843,1,7,Pecks Beach,Grounded; Bilged,,,,,,,,,"Georgetown, SC","New York, NY",Thompson,,,,,,,,Y,N,Ship lost; cargo saved,,"New York, NY",ROOFTOP,40.714269,-74.005973
Patrice McAllister,,McAllister Brothers Inc,Tug,1919,"New Orleans, LA",10/1/76,1976,10,1,Brigantine Inlet E 5 mi,Foundered while in tow,,,93.9,24.04,12,196,133,"Wilmington, DE","Philadelphia, PA","New York, NY",,,,,,,,,,N,#219162,,"New York, NY",ROOFTOP,40.714269,-74.005973
Pero D'Alemquer,,,Bark,1869,"Liverpool, England",12/2/15,1915,12,2,"Mantaloking, NJ",Stranded,Iron,Portugal,263,38.2,23.1,1528,1469,"Lisbon, Portugal","Lisbon, Portugal","New York, NY",Thomas Stephens,,,,,,,,N,Y,Refloated,,"New York, NY",ROOFTOP,40.714269,-74.005973
Orestes,,,Brig,,,11/24/1854,1854,11,24,Egg Harbor,Stranded,,England,,,,,,,"Turks Is., West Indies","New York, NY",,,,,,,Salt,,Y,N,Sank,,"New York, NY",ROOFTOP,40.714269,-74.005973
Perserverance (1835),,,Schooner,,,~1835,1835,,,Squan Beach,Stranded,,,,,,,,"Philadelphia, PA","Philadelphia, PA","New York, NY",,,,,,,Coal,,Y,N,Total loss; crew saved,,"New York, NY",ROOFTOP,40.714269,-74.005973
Peru (1843),,,Schooner,,,11/20/1843,1843,11,20,"Off Barnegat, NJ","Collision w/ ""L Baldwin""",,,,,,,,"Philadelphia, PA","Philadelphia, PA","New York, NY",West,,,,,,Coal,,Y,N,Sunk; crew saved,,"New York, NY",ROOFTOP,40.714269,-74.005973
Phebe,,M M Medesco,Schooner,1869,"Patchogue, NY",3/12/1888,1888,3,12,Barnegat,Damaged in blizzard,,,101.5,27,9.4,179,,"New York, NY","Aguadilla, PR","New York, NY",M M Medesco,,,,,,,,N,N,#20315,,"New York, NY",ROOFTOP,40.714269,-74.005973
Puritan (1874),,E Williams,Ship,1866,"East Boston, MA",4/17/1874,1874,4,17,Sandy Hook,Stranded,,US,187,37,23,131,,"Boston, MA",Manila,"New York, NY",Doane,,,,,,,,N,N,Refloated,,"New York, NY",ROOFTOP,40.714269,-74.005973
Posie,,Bedell et al,Brig,1868,"Sackville, NB",10/29/1870,1870,10,29,Barnegat,Damaged in gale,Wood,England,104,24.9,10.6,171,,"St John, NB, Canada ","St Pierre, Martineque","New York, NY",Holden,,,,,,,,,N,,,"New York, NY",ROOFTOP,40.714269,-74.005973
